1.1e+02,11e1
1.1e+03,11e2
1.1e+04,11e3
1.2e+02,12e1
10a,10a
10b,10b
10c,10c
10d,10d
10e,10e
10f,10f
10g,10g
10h1,10h1
10h2,10h2
10i,10i
10j,10j
10k,10k
10m,10m
10p,10p
10r,10r
11b,11b
11c,11c
11g,11g
11h,11h
11j,11j
11k,11k
11m,11m
11n,11n
11p,11p
11r,11r
12a,12a
12d,12d
12f,12f
12g,12g
12h1,12h1
12h2,12h2
12i,12i
12j,12j
12k,12k
12l,12l
12m,12m
12n,12n
12s,12s
1a,1a
1b,1b
1c,1c
1d,1d
1e,1e
1f,1f
1g,1g
1h,1h
1j,1j
1p,1p
1r,1r
1s,1s
1t,1t
2a,2a
2b,2b
2c,2c
2d,2d
2e,2e
2f1,2f1
2f2,2f2
2g,2g
2j,2j
2k,2k
2l1,2l1
2l2,2l2
2s,2s
2w,2w
3a,3a
3b,3b
3c,3c
3d,3d
3e,3e
3f,3f
3g,3g
3h,3h
3i,3i
3l,3l
3m,3m
3n,3n
3p1a,3p1a
3p2,3p2
3s,3s
3t,3t
4a,4a
4b,4b
4c,4c
4d,4d
4f,4f
4g,4g
4i,4i
4j,4j
4k,4k
4l,4l
4m,4m
4s,4s
4t,4t
4v,4v
4w,4w
4x1,4x1
4x2,4x2
5a1,5a1
5a2,5a2
5b,5b
5c,5c
5d,5d
5f,5f
5j,5j
5k,5k
6b,6b
6d,6d
6e,6e
6f,6f
6g,6g
6i,6i
6j,6j
6l1,6l1
6l2,6l2
6n,6n
6q,6q
6r,6r
7a,7a
7b,7b
7c,7c
7d,7d
7e,7e
7f,7f
7h,7h
7j,7j
7m,7m
7n,7n
8a,8a
8b,8b
8c,8c
8d,8d
8e,8e
8f1,8f1
8g,8g
8h,8h
8j,8j
8k,8k
8l,8l
8m,8m
8n1,8n1
8n2,8n2
8p,8p
9a,9a
9b,9b
9c,9c
9d,9d
9e,9e
9f,9f
9g,9g
9h,9h
9i,9i
9k,9k
9m,9m
ap01a,ap01a
ap01b,ap01b
ap01c,ap01c
ap01d,ap01d
ap021,ap021
ap022,ap022
ap02b,ap02b
ap03,ap03
ap04a,ap04a
ap04b,ap04b
ap05,ap05
ap06,ap06
ap07a,ap07a
ap07b,ap07b
ap09a,ap09a
ap09b,ap09b
ap10,ap10
ap12a,ap12a
ap12b,ap12b
ap12c,ap12c
ap14,ap14
ch01,ch01
ch02,ch02
ch03,ch03
ch04a,ch04a
ch05,ch05
cp011,cp011
cp012,cp012
cp01b,cp01b
cp02,cp02
cp04a,cp04a
cp04b,cp04b
cp051,cp051
cp05b,cp05b
cp06a,cp06a
cp07b,cp07b
cp07c,cp07c
cp07d,cp07d
cp07e,cp07e
cp07f,cp07f
cp081,cp081
cp083,cp083
cp084,cp084
cp08a,cp08a
ep01a,ep01a
ep01b,ep01b
ep02a,ep02a
ep02b,ep02b
ep02c,ep02c
ep02d,ep02d
ep02e,ep02e
ep03a,ep03a
ep03b,ep03b
ep04a,ep04a
ep04b,ep04b
fa01a,fa01a
fa01b,fa01b
fa01c,fa01c
hp01,hp01
jc01,jc01
jc02,jc02
jc03a,jc03a
jc03b,jc03b
jc04a,jc04a
jc04b,jc04b
jc05,jc05
jc06,jc06
jc07,jc07
jc08,jc08
jc09,jc09
jc10,jc10
jc11,jc11
jc12,jc12
jc13a,jc13a
jc13b,jc13b
jc14,jc14
jc15,jc15
jc16,jc16
jc18,jc18
jc19,jc19
ml011,ml011
ml012,ml012
ml01b,ml01b
ml021,ml021
ml022,ml022
ml023,ml023
ml024,ml024
ml03,ml03
ml04a,ml04a
ml04b,ml04b
ml04c,ml04c
ml05a,ml05a
ml05b,ml05b
ml05c,ml05c
ml06a,ml06a
ml06b,ml06b
ml071,ml071
ml072,ml072
ml07a,ml07a
mp01,mp01
pa01,pa01
rw01,rw01
rw02,rw02
rw03,rw03
rw04,rw04
rw05,rw05
rw06,rw06
rw07a,rw07a
rw07b,rw07b
rw08,rw08
rw09,rw09
rw10,rw10
rw11a,rw11a
rw12,rw12
rw13,rw13
rw16,rw16
rw17,rw17
rw19,rw19
rw20,rw20
rw21,rw21
rw22a,rw22a
sc01a,sc01a
sc01b,sc01b
sc01c,sc01c
sc01d,sc01d
sc02,sc02
sc04,sc04
sc05a,sc05a
sc05b,sc05b
sc05d,sc05d
sc05e,sc05e
sc07a,sc07a
sc07c,sc07c
sc08b,sc08b
sc08c,sc08c
sc08d,sc08d
sc08e,sc08e
sc08f,sc08f
sc08g,sc08g
sc08h,sc08h
sc09a,sc09a
sc09b,sc09b
sc09c,sc09c
sc10,sc10
sc11a,sc11a
sc11b,sc11b
sc13,sc13
sc14a,sc14a
sc14b,sc14b
sc15,sc15
sc16a,sc16a
sc16b,sc16b
sc17a,sc17a
sc17b,sc17b
sc17c,sc17c
sc18a,sc18a
sc18b,sc18b
sc18c,sc18c
sc19a,sc19a
sc19b,sc19b
sc20,sc20
sc211,sc211
sc212,sc212
sc23a,sc23a
sc23b,sc23b
sc23c,sc23c
sc27,sc27
sc29a,sc29a
sc30a,sc30a
sc30b,sc30b
ss01,ss01
ss02a,ss02a
ss02b,ss02b
ss03,ss03
ss04,ss04
ss05,ss05
ss06,ss06
ss07a,ss07a
ss07b,ss07b
ss07c,ss07c
ss08a,ss08a
ss08b,ss08b
ss08c,ss08c
ss08d,ss08d
ss09a,ss09a
ss09b,ss09b
ss11a,ss11a
ss11b,ss11b
ss11c,ss11c
ss11d,ss11d
ss12,ss12
ss13a,ss13a
ss13b,ss13b
ss14,ss14
ss15a,ss15a
ss15b,ss15b
ss16,ss16
ss17,ss17
ss18a,ss18a
ss18b,ss18b
ss19a,ss19a
ss19b,ss19b
ss20,ss20
ss22,ss22
ss26,ss26
ss29a,ss29a
ss31,ss31
uc01a,uc01a
uc01b,uc01b
uc01d,uc01d
uc01e,uc01e
uc02a,uc02a
uc02b,uc02b
uc031,uc031
uc032,uc032
