1-wilson,wilson
10-candler,candler
11-tadmore,tadmore
12-glade,glade
13-lula,lula
14-clermont,clermont
15-quillians,quillians
16-barkcamp,barkcamp
17-chestatee,chestatee
18-fork,fork
19-whelchel,whelchel
2-chicopee,chicopee
20-westwhelchel,westwhelchel
21-gainesvillei,gainesvillei
22-gainesvilleii,gainesvilleii
23-gainesvilleiii,gainesvilleiii
24-gainesvilleiv,gainesvilleiv
25-gainesvillev,gainesvillev
26-gillsville,gillsville
27-bighickory,bighickory
28-friendshipi,friendshipi
29-friendshipii,friendshipii
3-oakwoodi,oakwoodi
30-friendshipiii,friendshipiii
31-friendshipiv,friendshipiv
4-oakwoodii,oakwoodii
5-flowerybranchi,flowerybranchi
6-flowerybranchii,flowerybranchii
7-roberts,roberts
8-morgani,morgani
9-morganii,morganii
