brittdavidbaptch,brittdavid
carver/mack,carver/mack
columbustech,columbustech
cornerstonechurch,cornerstone
cussetard,cussetard
edgewoodbaptist,edgewoodbaptist
epworth,epworthumc
faithtabernacle,faithtabernacle
firstafrican,firstafrican
fort/waddell,fort/waddell
gentian/reese@lds,gentian/reese@lds
mariannagallops,mariannagallops
moon/morningside,moon/morningside
mt.pilgrim,mtpilgrim
ourladyoflourdes,ourladyoflourdes
psalmond/mathews,psalmond/mathews
rothschild,rothschild
salvationarmy,salvationarmy
st.andrews/midland,standrews/midland
st.mark/heiferhorn,stmark/heiferhorn
stjohn/belvedere,stjohn/belvedere
stpaul/clubview,stpaul/clubview
stpeteru.m.c.,st.peter
wynnbrook,wynnbrook
wynnton/britt,wynnton/britt
